source_id,type
1104265026998098688,rrlyrae
139455530813370880,rrlyrae
140238619315861632,rrlyrae
141534913459225216,rrlyrae
142307870133443200,rrlyrae
1802948247776332032,rrlyrae
1802992709261435264,rrlyrae
1803073042333753984,rrlyrae
1803132519038144640,rrlyrae
1803238175231870976,rrlyrae
1803451858451824384,rrlyrae
1803570159024997376,rrlyrae
1803637877775840768,rrlyrae
1803647361064939392,rrlyrae
1803739410808086016,rrlyrae
1808717935030723712,rrlyrae
1808756860319334784,rrlyrae
1808765969938936576,rrlyrae
1808872313333911168,rrlyrae
1808989926721809792,rrlyrae
1809208690873935616,rrlyrae
1809222881449986688,rrlyrae
1809322868284804608,rrlyrae
1809397119680842240,rrlyrae
1809419492171633408,rrlyrae
1809470653829815936,rrlyrae
1809536139179715200,rrlyrae
1823902736070403712,rrlyrae
1823906245071600128,rrlyrae
1823915934519135488,rrlyrae
1823951599930778496,rrlyrae
1823965545695146496,rrlyrae
1823972765512536192,rrlyrae
1823991972613608832,rrlyrae
1823996061427076992,rrlyrae
1823998634112576640,rrlyrae
1824006266271927296,rrlyrae
1824019284299732096,rrlyrae
1824023029518607232,rrlyrae
1824046256697129984,rrlyrae
1824068732298417536,rrlyrae
1824086152691929088,rrlyrae
1826808302929018368,rrlyrae
1826813044600448768,rrlyrae
1826817442614933888,rrlyrae
1826841288309703168,rrlyrae
1826906606157017344,rrlyrae
1826910591887641344,rrlyrae
1826935021636892160,rrlyrae
1826943611598396544,rrlyrae
1826946635226825472,rrlyrae
1827042838195837568,rrlyrae
1827044143866272512,rrlyrae
1827058201296409472,rrlyrae
1827082940310333696,rrlyrae
1836526508243114752,rrlyrae
1836541965827028352,rrlyrae
1836589489650544128,rrlyrae
1836613777681546240,rrlyrae
1836636253241940224,rrlyrae
1836698508794444544,rrlyrae
1836750220199763712,rrlyrae
1836787573531577728,rrlyrae
1836789635117478528,rrlyrae
1836833302045485184,rrlyrae
1836860240081044352,rrlyrae
1837025235548923136,rrlyrae
1837066570311302784,rrlyrae
1837085609903393536,rrlyrae
1837118281718288640,rrlyrae
1837128727079043712,rrlyrae
